------------------------------------------------------------------------------------
Date: 6/14/2024 -- 14:50:30 (uptime: 0d, 00h 00m 45s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 367
decoder.bytes                                 | Total                     | 42716
decoder.ipv4                                  | Total                     | 320
decoder.ipv6                                  | Total                     | 27
decoder.arp                                   | Total                     | 20
decoder.sll                                   | Total                     | 367
decoder.udp                                   | Total                     | 320
decoder.icmpv6                                | Total                     | 27
decoder.avg_pkt_size                          | Total                     | 116
decoder.max_pkt_size                          | Total                     | 157
flow.total                                    | Total                     | 170
flow.udp                                      | Total                     | 160
flow.icmpv6                                   | Total                     | 10
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 4
decoder.event.ipv6.zero_len_padn              | Total                     | 12
flow.wrk.flows_evicted                        | Total                     | 6
detect.alert                                  | Total                     | 160
app_layer.flow.dns_udp                        | Total                     | 160
app_layer.tx.dns_udp                          | Total                     | 320
flow.end.state.new                            | Total                     | 10
flow.end.state.established                    | Total                     | 160
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9800
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 1
flow.mgr.flows_notimeout                      | Total                     | 1
memcap_pressure                               | Total                     | 5
memcap_pressure_max                           | Total                     | 5
flow.recycler.recycled                        | Total                     | 164
flow.recycler.queue_avg                       | Total                     | 1
flow.recycler.queue_max                       | Total                     | 89
tcp.memuse                                    | Total                     | 2424832
tcp.reassembly_memuse                         | Total                     | 458752
flow.memuse                                   | Total                     | 7154304
