------------------------------------------------------------------------------------
Date: 6/14/2024 -- 14:48:54 (uptime: 0d, 00h 00m 51s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 327
decoder.bytes                                 | Total                     | 39928
decoder.ipv4                                  | Total                     | 321
decoder.arp                                   | Total                     | 6
decoder.sll                                   | Total                     | 327
decoder.udp                                   | Total                     | 321
decoder.avg_pkt_size                          | Total                     | 122
decoder.max_pkt_size                          | Total                     | 157
flow.total                                    | Total                     | 161
flow.udp                                      | Total                     | 161
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 4
detect.alert                                  | Total                     | 161
app_layer.flow.dns_udp                        | Total                     | 161
app_layer.tx.dns_udp                          | Total                     | 321
flow.end.state.new                            | Total                     | 1
flow.end.state.established                    | Total                     | 160
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9700
memcap_pressure                               | Total                     | 5
memcap_pressure_max                           | Total                     | 5
flow.recycler.recycled                        | Total                     | 161
flow.recycler.queue_avg                       | Total                     | 2
flow.recycler.queue_max                       | Total                     | 125
tcp.memuse                                    | Total                     | 2424832
tcp.reassembly_memuse                         | Total                     | 458752
flow.memuse                                   | Total                     | 7154304
