------------------------------------------------------------------------------------
Date: 6/14/2024 -- 14:45:25 (uptime: 0d, 00h 01m 28s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 273
decoder.bytes                                 | Total                     | 26458
decoder.ipv4                                  | Total                     | 160
decoder.ipv6                                  | Total                     | 61
decoder.arp                                   | Total                     | 52
decoder.sll                                   | Total                     | 273
decoder.udp                                   | Total                     | 160
decoder.icmpv6                                | Total                     | 61
decoder.avg_pkt_size                          | Total                     | 96
decoder.max_pkt_size                          | Total                     | 153
flow.total                                    | Total                     | 101
flow.udp                                      | Total                     | 80
flow.icmpv6                                   | Total                     | 21
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 4
decoder.event.ipv6.zero_len_padn              | Total                     | 28
flow.wrk.flows_evicted                        | Total                     | 17
detect.alert                                  | Total                     | 80
app_layer.flow.dns_udp                        | Total                     | 80
app_layer.tx.dns_udp                          | Total                     | 160
flow.end.state.new                            | Total                     | 21
flow.end.state.established                    | Total                     | 80
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9800
memcap_pressure                               | Total                     | 5
memcap_pressure_max                           | Total                     | 5
flow.recycler.recycled                        | Total                     | 84
flow.recycler.queue_avg                       | Total                     | 1
flow.recycler.queue_max                       | Total                     | 34
tcp.memuse                                    | Total                     | 2424832
tcp.reassembly_memuse                         | Total                     | 458752
flow.memuse                                   | Total                     | 7154304
