------------------------------------------------------------------------------------
Date: 6/14/2024 -- 14:40:50 (uptime: 0d, 00h 00m 47s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 181
decoder.bytes                                 | Total                     | 20200
decoder.ipv4                                  | Total                     | 160
decoder.ipv6                                  | Total                     | 9
decoder.arp                                   | Total                     | 12
decoder.sll                                   | Total                     | 181
decoder.udp                                   | Total                     | 160
decoder.icmpv6                                | Total                     | 9
decoder.avg_pkt_size                          | Total                     | 111
decoder.max_pkt_size                          | Total                     | 153
flow.total                                    | Total                     | 84
flow.udp                                      | Total                     | 80
flow.icmpv6                                   | Total                     | 4
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 4
decoder.event.ipv6.zero_len_padn              | Total                     | 4
detect.alert                                  | Total                     | 80
app_layer.flow.dns_udp                        | Total                     | 80
app_layer.tx.dns_udp                          | Total                     | 160
flow.end.state.new                            | Total                     | 4
flow.end.state.established                    | Total                     | 80
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 10000
memcap_pressure                               | Total                     | 5
memcap_pressure_max                           | Total                     | 5
flow.recycler.recycled                        | Total                     | 84
flow.recycler.queue_avg                       | Total                     | 1
flow.recycler.queue_max                       | Total                     | 84
tcp.memuse                                    | Total                     | 2424832
tcp.reassembly_memuse                         | Total                     | 458752
flow.memuse                                   | Total                     | 7154304
