------------------------------------------------------------------------------------
Date: 5/20/2024 -- 07:16:00 (uptime: 0d, 00h 01m 03s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 20353
decoder.bytes                                 | Total                     | 4922121
decoder.ipv4                                  | Total                     | 20310
decoder.ipv6                                  | Total                     | 4
decoder.arp                                   | Total                     | 39
decoder.sll                                   | Total                     | 20353
decoder.tcp                                   | Total                     | 6641
tcp.syn                                       | Total                     | 79
tcp.synack                                    | Total                     | 50
tcp.rst                                       | Total                     | 98
decoder.udp                                   | Total                     | 13669
decoder.icmpv6                                | Total                     | 4
decoder.avg_pkt_size                          | Total                     | 241
decoder.max_pkt_size                          | Total                     | 20291
flow.total                                    | Total                     | 416
flow.active                                   | Total                     | 226
flow.tcp                                      | Total                     | 112
flow.udp                                      | Total                     | 301
flow.icmpv6                                   | Total                     | 3
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 6
flow.wrk.flows_evicted                        | Total                     | 15
tcp.invalid_checksum                          | Total                     | 1911
detect.alert                                  | Total                     | 11230
app_layer.flow.dhcp                           | Total                     | 1
app_layer.tx.dhcp                             | Total                     | 1
app_layer.flow.dns_udp                        | Total                     | 300
app_layer.tx.dns_udp                          | Total                     | 6526
flow.end.state.new                            | Total                     | 190
flow.mgr.full_hash_pass                       | Total                     | 12
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9575
flow.mgr.rows_maxlen                          | Total                     | 2
flow.mgr.flows_checked                        | Total                     | 562
flow.mgr.flows_notimeout                      | Total                     | 387
flow.mgr.flows_timeout                        | Total                     | 175
flow.mgr.flows_evicted                        | Total                     | 175
memcap_pressure                               | Total                     | 5
memcap_pressure_max                           | Total                     | 5
flow.recycler.recycled                        | Total                     | 175
flow.recycler.queue_max                       | Total                     | 7
tcp.memuse                                    | Total                     | 2424832
tcp.reassembly_memuse                         | Total                     | 458752
flow.memuse                                   | Total                     | 7154304
------------------------------------------------------------------------------------
Date: 5/20/2024 -- 07:16:08 (uptime: 0d, 00h 01m 11s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 43649
decoder.bytes                                 | Total                     | 13340889
decoder.ipv4                                  | Total                     | 43600
decoder.ipv6                                  | Total                     | 4
decoder.arp                                   | Total                     | 45
decoder.sll                                   | Total                     | 43649
decoder.tcp                                   | Total                     | 15327
tcp.syn                                       | Total                     | 101
tcp.synack                                    | Total                     | 72
tcp.rst                                       | Total                     | 106
decoder.udp                                   | Total                     | 28273
decoder.icmpv6                                | Total                     | 4
decoder.avg_pkt_size                          | Total                     | 305
decoder.max_pkt_size                          | Total                     | 32836
flow.total                                    | Total                     | 531
flow.active                                   | Total                     | 182
flow.tcp                                      | Total                     | 171
flow.udp                                      | Total                     | 357
flow.icmpv6                                   | Total                     | 3
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 8
flow.wrk.flows_evicted                        | Total                     | 15
tcp.invalid_checksum                          | Total                     | 9731
detect.alert                                  | Total                     | 25192
app_layer.flow.dhcp                           | Total                     | 1
app_layer.tx.dhcp                             | Total                     | 1
app_layer.flow.dns_udp                        | Total                     | 356
app_layer.tx.dns_udp                          | Total                     | 12525
flow.end.state.new                            | Total                     | 349
flow.mgr.full_hash_pass                       | Total                     | 19
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9533
flow.mgr.rows_maxlen                          | Total                     | 2
flow.mgr.flows_checked                        | Total                     | 851
flow.mgr.flows_notimeout                      | Total                     | 517
flow.mgr.flows_timeout                        | Total                     | 334
flow.mgr.flows_evicted                        | Total                     | 334
memcap_pressure                               | Total                     | 5
memcap_pressure_max                           | Total                     | 5
flow.recycler.recycled                        | Total                     | 334
flow.recycler.queue_max                       | Total                     | 15
tcp.memuse                                    | Total                     | 2424832
tcp.reassembly_memuse                         | Total                     | 458752
flow.memuse                                   | Total                     | 7154304
------------------------------------------------------------------------------------
Date: 5/20/2024 -- 07:16:16 (uptime: 0d, 00h 01m 19s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 60097
decoder.bytes                                 | Total                     | 18641064
decoder.ipv4                                  | Total                     | 60046
decoder.ipv6                                  | Total                     | 4
decoder.arp                                   | Total                     | 47
decoder.sll                                   | Total                     | 60097
decoder.tcp                                   | Total                     | 22877
tcp.syn                                       | Total                     | 103
tcp.synack                                    | Total                     | 74
tcp.rst                                       | Total                     | 108
decoder.udp                                   | Total                     | 37169
decoder.icmpv6                                | Total                     | 4
decoder.avg_pkt_size                          | Total                     | 310
decoder.max_pkt_size                          | Total                     | 32836
flow.total                                    | Total                     | 538
flow.active                                   | Total                     | 173
flow.tcp                                      | Total                     | 176
flow.udp                                      | Total                     | 359
flow.icmpv6                                   | Total                     | 3
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 8
flow.wrk.flows_evicted                        | Total                     | 15
tcp.invalid_checksum                          | Total                     | 16170
detect.alert                                  | Total                     | 36534
app_layer.flow.dhcp                           | Total                     | 1
app_layer.tx.dhcp                             | Total                     | 1
app_layer.flow.dns_udp                        | Total                     | 358
app_layer.tx.dns_udp                          | Total                     | 17431
flow.end.state.new                            | Total                     | 365
flow.mgr.full_hash_pass                       | Total                     | 20
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9549
flow.mgr.rows_maxlen                          | Total                     | 2
flow.mgr.flows_checked                        | Total                     | 893
flow.mgr.flows_notimeout                      | Total                     | 543
flow.mgr.flows_timeout                        | Total                     | 350
flow.mgr.flows_evicted                        | Total                     | 350
memcap_pressure                               | Total                     | 5
memcap_pressure_max                           | Total                     | 5
flow.recycler.recycled                        | Total                     | 350
flow.recycler.queue_max                       | Total                     | 15
tcp.memuse                                    | Total                     | 2424832
tcp.reassembly_memuse                         | Total                     | 458752
flow.memuse                                   | Total                     | 7154304
------------------------------------------------------------------------------------
Date: 5/20/2024 -- 07:16:24 (uptime: 0d, 00h 01m 27s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 73537
decoder.bytes                                 | Total                     | 23167793
decoder.ipv4                                  | Total                     | 73484
decoder.ipv6                                  | Total                     | 4
decoder.arp                                   | Total                     | 49
decoder.sll                                   | Total                     | 73537
decoder.tcp                                   | Total                     | 28414
tcp.syn                                       | Total                     | 129
tcp.synack                                    | Total                     | 100
tcp.rst                                       | Total                     | 124
decoder.udp                                   | Total                     | 45070
decoder.icmpv6                                | Total                     | 4
decoder.avg_pkt_size                          | Total                     | 315
decoder.max_pkt_size                          | Total                     | 32836
flow.total                                    | Total                     | 552
flow.active                                   | Total                     | 181
flow.tcp                                      | Total                     | 185
flow.udp                                      | Total                     | 364
flow.icmpv6                                   | Total                     | 3
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 8
flow.wrk.flows_evicted                        | Total                     | 15
tcp.invalid_checksum                          | Total                     | 23060
detect.alert                                  | Total                     | 47168
app_layer.flow.dhcp                           | Total                     | 1
app_layer.tx.dhcp                             | Total                     | 1
app_layer.flow.dns_udp                        | Total                     | 363
app_layer.tx.dns_udp                          | Total                     | 21183
flow.end.state.new                            | Total                     | 371
flow.mgr.full_hash_pass                       | Total                     | 21
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9556
flow.mgr.rows_maxlen                          | Total                     | 2
flow.mgr.flows_checked                        | Total                     | 907
flow.mgr.flows_notimeout                      | Total                     | 551
flow.mgr.flows_timeout                        | Total                     | 356
flow.mgr.flows_evicted                        | Total                     | 356
memcap_pressure                               | Total                     | 5
memcap_pressure_max                           | Total                     | 5
flow.recycler.recycled                        | Total                     | 356
flow.recycler.queue_max                       | Total                     | 15
tcp.memuse                                    | Total                     | 2424832
tcp.reassembly_memuse                         | Total                     | 458752
flow.memuse                                   | Total                     | 7154304
------------------------------------------------------------------------------------
Date: 5/20/2024 -- 07:16:32 (uptime: 0d, 00h 01m 35s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 93441
decoder.bytes                                 | Total                     | 30213080
decoder.ipv4                                  | Total                     | 93384
decoder.ipv6                                  | Total                     | 4
decoder.arp                                   | Total                     | 53
decoder.sll                                   | Total                     | 93441
decoder.tcp                                   | Total                     | 35661
tcp.syn                                       | Total                     | 193
tcp.synack                                    | Total                     | 164
tcp.rst                                       | Total                     | 151
decoder.udp                                   | Total                     | 57723
decoder.icmpv6                                | Total                     | 4
decoder.avg_pkt_size                          | Total                     | 323
decoder.max_pkt_size                          | Total                     | 32836
flow.total                                    | Total                     | 633
flow.active                                   | Total                     | 248
flow.tcp                                      | Total                     | 249
flow.udp                                      | Total                     | 381
flow.icmpv6                                   | Total                     | 3
